PAGE NAME,COMPONENT NAME,CACHE ENABLED,SERVED FROM CACHE,DURATION,PAGE RUN TIME
ARTICLE PAGE,,,,,
,classified,true,false,0.924,
,More-On-Category,true,false,0.967,
,article-jobs,true,false,0.019,
,related-content,true,false,2.114,
,also-on-farmers-guardian,true,false,2.215,
,Header-Date-Weather,false,false,0.024,
,Home-Countries,true,false,0.096,
,Header-User-Login,true,false,0.291,
,fgbuysell-menu,true,false,0.099,
,discover-menu,true,false,0.108,
,more-menu,true,false,0.116,
,Header-Main-Navigation,true,false,0.805,
,footer-links,true,false,0.106,
,footer-accreditations,true,false,0.1,
,,,,7.984,9.785
DIFFERENCE,,,,,1.801
,,,,,
ARTICLE PAGE,,,,,
,classified,true,false,0.93,
,More-On-Category,true,false,1.019,
,article-jobs,true,false,0.017,
,related-content,true,false,1.974,
,also-on-farmers-guardian,true,false,3.024,
,Header-Date-Weather,false,false,0.014,
,Home-Countries,true,false,0.149,
,Header-User-Login,true,false,0.365,
,fgbuysell-menu,true,false,0.101,
,discover-menu,true,false,0.11,
,more-menu,true,false,0.1,
,Header-Main-Navigation,true,false,0.865,
,footer-links,true,false,0.124,
,footer-accreditations,true,false,0.111,
,,,,8.903,10.632
DIFFERENCE,,,,,1.729
,,,,,
ARTICLE PAGE,,,,,
,classified,true,false,0.974,
,More-On-Category,true,false,1.07,
,article-jobs,true,false,0.021,
,related-content,true,false,1.883,
,also-on-farmers-guardian,true,false,2.197,
,Header-Date-Weather,false,false,0.031,
,Home-Countries,true,false,0.169,
,Header-User-Login,true,false,0.43,
,fgbuysell-menu,true,false,0.122,
,discover-menu,true,false,0.104,
,more-menu,true,false,0.096,
,Header-Main-Navigation,true,false,0.891,
,footer-links,true,false,0.112,
,footer-accreditations,true,false,0.093,
,,,,8.193,10.162
DIFFERENCE,,,,,1.969
